iso3,hazard,rp,income_cat,fa,income_cat,v_ew
ARG,Flood,2500.0,q4,0.0334954857559406,q4,0.5686428438389821
ARG,Flood,2500.0,q5,0.0334954857559406,q5,0.6107442513040887
ARG,Flood,5000.0,q1,0.0357629190609415,q1,0.5574791547630937
ARG,Flood,5000.0,q2,0.0355963613484963,q2,0.4172208692995625
ARG,Flood,5000.0,q3,0.0360226909949039,q3,0.3592268518732978
ARG,Flood,5000.0,q4,0.0360226909949039,q4,0.5686428438389821
ARG,Flood,5000.0,q5,0.0360226909949039,q5,0.6107442513040887
ARM,Earthquake,10.0,q1,0.0080560753047129,q1,0.7
ARM,Earthquake,10.0,q2,0.0080560753047129,q2,0.7
ARM,Earthquake,10.0,q3,0.0080560753047129,q3,0.576528703308957
ARM,Earthquake,10.0,q4,0.0080560753047129,q4,0.2040832413404127
ARM,Earthquake,10.0,q5,0.0080560753047129,q5,0.0999999999999999
ARM,Earthquake,25.0,q1,0.020050032439663,q1,0.7
ARM,Earthquake,25.0,q2,0.020050032439663,q2,0.7
ARM,Earthquake,25.0,q3,0.020050032439663,q3,0.576528703308957
ARM,Earthquake,25.0,q4,0.020050032439663,q4,0.2040832413404127
ARM,Earthquake,25.0,q5,0.020050032439663,q5,0.0999999999999999
ARM,Earthquake,50.0,q1,0.0398544018671183,q1,0.7
ARM,Earthquake,50.0,q2,0.0398544018671183,q2,0.7
ARM,Earthquake,50.0,q3,0.0398544018671183,q3,0.576528703308957
ARM,Earthquake,50.0,q4,0.0398544018671183,q4,0.2040832413404127
ARM,Earthquake,50.0,q5,0.0398544018671183,q5,0.0999999999999999
ARM,Earthquake,100.0,q1,0.0787447174968378,q1,0.7
ARM,Earthquake,100.0,q2,0.0787447174968378,q2,0.7
ARM,Earthquake,100.0,q3,0.0787447174968378,q3,0.576528703308957
ARM,Earthquake,100.0,q4,0.0787447174968378,q4,0.2040832413404127
ARM,Earthquake,100.0,q5,0.0787447174968378,q5,0.0999999999999999
ARM,Earthquake,250.0,q1,0.1900094894315988,q1,0.7
ARM,Earthquake,250.0,q2,0.1900094894315988,q2,0.7
ARM,Earthquake,250.0,q3,0.1900094894315988,q3,0.576528703308957
ARM,Earthquake,250.0,q4,0.1900094894315988,q4,0.2040832413404127
ARM,Earthquake,250.0,q5,0.1900094894315988,q5,0.0999999999999999
ARM,Earthquake,500.0,q1,0.3158749574328663,q1,0.7
ARM,Earthquake,500.0,q2,0.3158749574328663,q2,0.7
ARM,Earthquake,500.0,q3,0.3158749574328663,q3,0.576528703308957
ARM,Earthquake,500.0,q4,0.3158749574328663,q4,0.2040832413404127
ARM,Earthquake,500.0,q5,0.3158749574328663,q5,0.0999999999999999
ARM,Earthquake,1000.0,q1,0.4046689446938176,q1,0.7
ARM,Earthquake,1000.0,q2,0.4046689446938176,q2,0.7
ARM,Earthquake,1000.0,q3,0.4046689446938176,q3,0.576528703308957
ARM,Earthquake,1000.0,q4,0.4046689446938176,q4,0.2040832413404127
ARM,Earthquake,1000.0,q5,0.4046689446938176,q5,0.0999999999999999
ARM,Earthquake,2500.0,q1,0.5500965463108053,q1,0.7
ARM,Earthquake,2500.0,q2,0.5500965463108053,q2,0.7
ARM,Earthquake,2500.0,q3,0.5500965463108053,q3,0.576528703308957
ARM,Earthquake,2500.0,q4,0.5500965463108053,q4,0.2040832413404127
ARM,Earthquake,2500.0,q5,0.5500965463108053,q5,0.0999999999999999
ARM,Earthquake,5000.0,q1,0.6833631881426366,q1,0.7
ARM,Earthquake,5000.0,q2,0.6833631881426366,q2,0.7
ARM,Earthquake,5000.0,q3,0.6833631881426366,q3,0.576528703308957
ARM,Earthquake,5000.0,q4,0.6833631881426366,q4,0.2040832413404127
ARM,Earthquake,5000.0,q5,0.6833631881426366,q5,0.0999999999999999
ARM,Flood,10.0,q1,0.0131864573663491,q1,0.6561308620086725
ARM,Flood,10.0,q2,0.0111264508277371,q2,0.6561308620086725
ARM,Flood,10.0,q3,0.0108362653996398,q3,0.6550631288157461
ARM,Flood,10.0,q4,0.0117495816454323,q4,0.28119894086085956
ARM,Flood,10.0,q5,0.0105845875849964,q5,0.28119894086085956
ARM,Flood,25.0,q1,0.0268331826654027,q1,0.6561308620086725
ARM,Flood,25.0,q2,0.0226412658975556,q2,0.6561308620086725
ARM,Flood,25.0,q3,0.0220507662369838,q3,0.6550631288157461
ARM,Flood,25.0,q4,0.0239092776607701,q4,0.28119894086085956
ARM,Flood,25.0,q5,0.02153862589591,q5,0.28119894086085956
ARM,Flood,50.0,q1,0.0370558829769756,q1,0.6561308620086725
ARM,Flood,50.0,q2,0.0312669618811995,q2,0.6561308620086725
ARM,Flood,50.0,q3,0.0304514981848895,q3,0.6550631288157461
ARM,Flood,50.0,q4,0.0330180510493021,q4,0.28119894086085956
ARM,Flood,50.0,q5,0.0297442465411593,q5,0.28119894086085956
ARM,Flood,100.0,q1,0.0409967546811059,q1,0.6561308620086725
ARM,Flood,100.0,q2,0.0345921851778161,q2,0.6561308620086725
ARM,Flood,100.0,q3,0.0336899973894496,q3,0.6550631288157461
