iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma,dk,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
RWA,Earthquake,500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,485.3754182243882,0.1822643406317921,0.022288907001146507,0.09999999999999998,58.1347150946381,124.48861145397521,48.965520505230245,268.6511269044652
RWA,Earthquake,1000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,682.7257290411725,0.25637176948776175,0.03447579838532535,0.09999999999999998,58.1347150946381,175.10482571028558,58.1347150946381,226.75942523154146
RWA,Earthquake,2500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,1043.9297115545435,0.39200823403558466,0.0644759116784697,0.09999999999999998,58.1347150946381,267.74606905802324,58.1347150946381,148.2997295647645
RWA,Earthquake,5000.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,1405.072060710048,0.5276215545120131,0.111694671836044,0.09999999999999998,58.1347150946381,360.37150474255435,58.1347150946381,110.18260076278682
RWA,Flood,10.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,8.495668914008053,0.00338790961013192,0.0003399426560043629,0.09999999999999998,58.1347150946381,1.9437437722231081,0.7645392170744224,225.66694659975076
RWA,Flood,25.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,17.393910098865994,0.006936357310788561,0.0006984806423891362,0.09999999999999998,58.1347150946381,3.979592986908085,1.565306574850513,225.66694659975076
RWA,Flood,50.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,24.16081003789821,0.00963486705337606,0.0009728600828978631,0.09999999999999998,58.1347150946381,5.527807700415035,2.1742710288299136,225.6669465997508
RWA,Flood,100.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,26.728943035253828,0.010658989173706342,0.0010773827282065255,0.09999999999999998,58.1347150946381,6.115376798313839,2.40538154067011,225.66694659975073
RWA,Flood,250.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,27.75949069802035,0.011069951790743939,0.0011193867362802139,0.09999999999999998,58.1347150946381,6.351158185483801,2.4981222196236277,225.66694659975073
RWA,Flood,500.0,2364.8019699513807,13776698.0,0.17721,0.8,0.4916666666666666,0.585174807157438,0.0885339467062773,0.06,0.05,0.8,1.5,3.0,1.4961137418895614,28.759575822767356,0.01146876653262892,0.001160182515670353,0.09999999999999998,58.1347150946381,6.5799699780096095,2.5881215246837797,225.6669465997508
