iso3,income_cat,income_share,axfin,diversified_share,n,c,gamma_SP,k,liquidity
LKA,q3,0.15,0.3060006294919246,0.15270164790067686,0.2,9150.103046171023,0.738669048914203,26417.729226814663,550.9841973095865
LKA,q4,0.208,0.3816021341503763,0.15686468546237253,0.2,12688.142890690486,1.0522124521567857,36452.59736631019,590.7731734964077
LKA,q5,0.457,0.4688573452837104,0.15836071494572895,0.2,27877.31394733439,2.3338802716821263,79948.45262116528,663.6381710094672
LSO,q1,0.0459540459540459,0.1253068562041472,0.465305823903631,0.2,514.7632644704646,0.4602883710791258,1650.9378976144865,108.27010815702387
LSO,q2,0.0889110889110889,0.130362602492427,0.3049393785417653,0.2,995.9550116928563,0.583629452738007,4152.217958697987,107.6435172359356
LSO,q3,0.1418581418581418,0.190434009313246,0.2664116716654757,0.2,1589.0518164088269,0.8135331883972676,6992.109304582139,131.26382594252402
LSO,q4,0.2257742257742258,0.1191326920752129,0.21657125696294657,0.2,2529.0542993548947,1.0525504933014775,11884.348861001063,132.90050893021518
LSO,q5,0.4975024975024975,0.2584865522552773,0.19515646717467364,0.2,5572.871863180255,2.0899984944841212,26903.46716333633,137.7252237325225
LTU,q1,0.071,0.3016400385358569,0.7903038550809841,0.2,14184.112387859248,0.8760229890932797,16838.52071546783,1681.20693778118
LTU,q2,0.119,0.4389342981997481,0.4965709093324273,0.2,23773.371466975364,0.9225529230275685,67754.85332478609,1807.9823324452095
LTU,q3,0.157,0.4910062837497972,0.39683250712405327,0.2,31364.868237942283,0.9726799133062664,107100.80137686562,1785.0743098517935
LTU,q4,0.215,0.557345050792442,0.2968961306509861,0.2,42951.889625207594,0.9965659667687201,170967.3138326952,2029.3254282366295
LTU,q5,0.438,0.551716357493661,0.1801923540350839,0.2,87501.98909693451,1.2321782078041652,406107.6919318112,2077.4610982573017
LUX,q1,0.071,0.4872219115924078,0.48817515667152755,0.2,41800.18130547381,0.4143450127170425,155019.5062501116,2787.038180459996
LUX,q2,0.123,0.5757020179544595,0.37563065860589206,0.2,72414.39859962366,0.5523244082612409,327607.1106426716,3207.7487731295028
LUX,q3,0.168,0.7409079679666362,0.4749085306210891,0.2,98907.47125802256,0.9537780977958721,376314.43955074425,3164.5381618917254
LUX,q4,0.233,0.6046122361068099,0.399729686132248,0.2,137175.24287570987,1.1133979474820435,596635.96022933,3199.9124240994242
LUX,q5,0.405,0.6683298085140812,0.40610144337297516,0.2,238437.65392559007,1.9661545337438011,1026062.7737951637,3234.636674521369
LVA,q1,0.069,0.2815959021720696,0.6092239715664678,0.2,11382.371915342954,0.6599662136008769,48582.14858495194,1474.4270384921438
LVA,q2,0.1169999999999999,0.3628145965113849,0.4719338371938024,0.2,19300.543682538027,0.866887233555091,111320.18362806186,1536.813954711722
LVA,q3,0.162,0.4027550948582002,0.40917241265002535,0.2,26723.82971428345,1.0406794721074517,172454.88170278625,1737.0871420836747
LVA,q4,0.223,0.5072274098370333,0.3143099424740882,0.2,36786.50633509388,1.1004203438512115,275506.866790275,1723.9987492675018
LVA,q5,0.429,0.588519910957105,0.1977727909257881,0.2,70768.66016930617,1.3320467368853688,620089.5213969509,1669.5832119170186
MAR,q1,0.067,0.0407593551401853,0.15836952210748523,0.2,2707.9273535156253,0.3004693090706673,13783.654716301824,341.4085127741884
MAR,q2,0.107,0.0424275882846399,0.1214575260068648,0.2,4324.600400390625,0.3680119470667979,22978.12930144777,341.6238182608831
MAR,q3,0.147,0.0262963618241949,0.12196572677014589,0.2,5941.273447265624,0.5077019742156381,31549.823339440718,366.3322943816194
MAR,q4,0.209,0.0497213619331853,0.18791267098220255,0.2,8447.116669921874,1.1121312933323337,41487.48886954547,334.3108456060872
MAR,q5,0.47,0.2080483486907411,0.20374536965795811,0.2,18995.90830078125,2.7116854763145626,91478.27305426865,390.1691820454827
MDA,q1,0.1009999999999999,0.0266885050767195,0.6310644707426633,0.2,6720.7507539862745,0.661974096764303,11730.679560240655,565.6773051259414
MDA,q2,0.142,0.0529196154200528,0.5899984856747884,0.2,9448.976307584673,0.8701319856312948,18328.423967691157,636.5116755803115
MDA,q3,0.176,0.0904177544868274,0.519701064808406,0.2,11711.407254471142,0.9499749785321486,26611.88320593978,654.0413686254958
MDA,q4,0.221,0.0532535387472136,0.4760799975858931,0.2,14705.80115476206,1.0927431702897652,36450.926386159874,725.9895144519087
MDA,q5,0.36,0.1785410994340085,0.38117116272394097,0.2,23955.15120232734,1.4251757687824882,70133.3140575532,714.3228381856151
MEX,q1,0.05,0.0609429743411054,0.22122115172854004,0.2,5063.695286152374,0.3236588920785481,20601.265937915166,975.0910684154717
MEX,q2,0.093,0.0370839503600293,0.16307600467120253,0.2,9418.473232243417,0.4437760917812944,41179.27770470313,960.8578301573666
MEX,q3,0.138,0.1188198505171631,0.14998829176407621,0.2,13975.798989780556,0.6056578284830969,62060.282867200105,1042.1304452912402
MEX,q4,0.207,0.1463571692403766,0.15178751606424734,0.2,20963.69848467083,0.9193847361924591,92893.37930495785,1050.5004241124354
MEX,q5,0.512,0.2226256879873979,0.18072207976154858,0.2,51852.23973020032,2.7075224514646012,221927.42195991712,1100.7315669879536
MKD,q1,0.058058058058058,0.0392698946891579,0.4038892275205348,0.2,4972.3128583054495,0.4534173727655447,15178.68665582851,691.7902034755365
MKD,q2,0.1231231231231231,0.0814188591433212,0.35038434324128215,0.2,10544.732440889153,0.8341760100202991,35078.48487612928,865.7694890983324
MKD,q3,0.1801801801801801,0.112472775756053,0.2519703783026598,0.2,15431.315767154852,0.8778693491118902,59111.3030588663,787.3217191167836
MKD,q4,0.2482482482482482,0.1721318540352918,0.21948398594690927,0.2,21260.923945857805,1.0535676138918486,84979.21809111364,862.4033253230116
MKD,q5,0.3903903903903904,0.3365966238989678,0.23593046293327688,0.2,33434.5174955022,1.7809696542104179,130820.77689973917,876.7431715490446
MLI,q1,0.075,0.0417926978138122,0.13822956301343203,0.2,799.7337430877885,0.5770920587825817,1113.8482038218817,50.8097323030516
MLI,q2,0.112,0.0969681837350069,0.0899324237159537,0.2,1194.269056344431,0.5606827829762632,1756.5673992322952,81.24332290700103
MLI,q3,0.154,0.0483404125746646,0.08937658857284946,0.2,1642.1199524735925,0.7661739723240392,2416.7553364884916,89.89508763723111
MLI,q4,0.221,0.1135340159608998,0.07706261790585059,0.2,2356.5487629653508,0.9480231263128792,3515.099835675723,84.47753240343282
MLI,q5,0.438,0.2591831725434714,0.08810142643839294,0.2,4670.445059632687,2.1480280596042367,6883.254078663362,93.0180410265897
MMR,q1,0.089,0.0367874110582003,0.044904718139881734,0.2,1891.194887384067,0.2158470068289172,5820.60640711195,153.21085459618084
MMR,q2,0.13,0.0624405118400535,0.043521476547598255,0.2,2762.4194984261653,0.30557021710545995,8514.322614967748,174.94829880299713
MMR,q3,0.166,0.1025994938117063,0.062462767044488124,0.2,3527.3972056826424,0.560006872105347,10656.832478459486,183.14048075775764
MMR,q4,0.216,0.1058707317437273,0.11549311684129633,0.2,4589.866243538859,1.3473297590014794,13082.372016185702,184.375467833579
MMR,q5,0.3989999999999999,0.1441216060050824,0.11931820426743184,0.2,8478.502922092614,2.5712461449587964,24061.54120967508,192.99128329097783
MNE,q1,0.053,0.0217836755393966,0.4219083427939613,0.2,5858.81366022434,0.3401601597308293,15872.79430061829,533.5357084174391
MNE,q2,0.115,0.0567399782621842,0.3407958075746824,0.2,12712.520206147154,0.5961856902888166,39273.410571483546,697.8473488779453
MNE,q3,0.171,0.0509793416005769,0.2647539006006888,0.2,18902.964828270986,0.6886966042865329,65134.28592476885,742.4863763809223
MNE,q4,0.238,0.1386678354522576,0.34146458164169713,0.2,26309.389644026287,1.2362664523582743,81196.4256514539,826.1716504711809
MNE,q5,0.423,0.2359220859367654,0.33236725433970304,0.2,46759.96562782823,2.138691093335547,146304.88046275108,897.6209788022757
MNG,q1,0.0789210789210789,0.1521650933216991,0.3853272554456756,0.2,4764.167787712118,0.5368215806834485,17830.0848389503,459.1329345737796
MNG,q2,0.1228771228771229,0.2084738108890473,0.3301647555026647,0.2,7417.628327703679,0.7161581996711982,30252.095895856273,479.6125645830939
MNG,q3,0.1648351648351648,0.2712566339557321,0.3026113628839144,0.2,9950.477024968348,0.8805262788490473,42251.40674158697,508.27892468384283
MNG,q4,0.2247752247752248,0.2943351716421047,0.2717384297198392,0.2,13568.832306775024,1.0782183671065506,60166.15709964991,511.61104626430614
MNG,q5,0.4085914085914086,0.4746682479351016,0.24793508660174596,0.2,24665.121837648814,1.7882755736897546,112943.43649326096,539.1736674870115
MOZ,q1,0.044,0.0519020363503409,0.09517040979588119,0.2,275.1699310240364,0.2738386524655689,818.2369391796923,19.76420455847169
MOZ,q2,0.083,0.0675006116755185,0.07411916969927905,0.2,519.0705517044323,0.40229883151312035,1579.4024065434396,29.73880260704492
MOZ,q3,0.124,0.0605965767969318,0.05651328508714878,0.2,775.4788965222845,0.45826044413252864,2404.457389130948,37.782408248218005
MOZ,q4,0.188,0.1836853282465736,0.07919807960822166,0.2,1175.7260689208829,0.9736718929966851,3557.817575936414,42.33541747412623
MOZ,q5,0.561,0.179992338951668,0.0788287806787311,0.2,3508.4166205564643,2.8919301788920975,10620.936992726758,46.85651194806606
MRT,q1,0.075,0.0853035257930889,0.0697376234875876,0.2,1998.8304385763659,0.5767755634779795,8822.697611615004,203.27192763564162
MRT,q2,0.124,0.0707129568498086,0.05244178149350896,0.2,3304.732991779592,0.7170964410500401,14858.065286420237,227.91151772741344
MRT,q3,0.1689999999999999,0.0691922259278622,0.04764309991834132,0.2,4504.031254925409,0.8879022595765136,20352.656913766736,253.28434990023885
MRT,q4,0.23,0.0906565813331331,0.036183388687645014,0.2,6129.746678300856,0.9177312468626466,28032.18285869326,257.09985960440156
MRT,q5,0.402,0.157531216029152,0.0428708521572469,0.2,10713.731150769321,1.90049448903282,48655.424913443705,238.32252258530346
MUS,q1,0.072,0.1936051784993949,0.3265989722235045,0.2,8222.886196706553,0.4227002440617626,23857.193686483202,1035.2828955285265
MUS,q2,0.1159999999999999,0.2705973319606224,0.30392664340512937,0.2,13247.983316916103,0.6337412138838233,39730.68794702133,1033.5795178657888
MUS,q3,0.155,0.2437814602866618,0.29427108466839186,0.2,17702.0466734655,0.8199067779998235,53824.83350588354,1087.1818421336543
MUS,q4,0.211,0.2357556424412829,0.27208450213415886,0.2,24097.624826459487,1.031980399826223,75574.71295526896,1036.1470755869339
MUS,q5,0.446,0.4993572435166604,0.26089959422339853,0.2,50936.21171848783,2.0916713642283673,162200.1996817464,1133.2765289394754
MWI,q1,0.069,0.0211723200005421,0.0857446597817894,0.2,506.07339897430995,0.2653721436829516,536.4420903427495,56.45644063608478
MWI,q2,0.11,0.0623567829783786,0.07158715772222046,0.2,806.783679524262,0.35320509955798346,868.4405106064406,54.14779064856755
MWI,q3,0.149,0.0454670220564074,0.06813625825415444,0.2,1092.8251659010457,0.45536925924098964,1180.71459592046,59.36487751394047
MWI,q4,0.21,0.0712319153779906,0.08722622871125095,0.2,1540.223388182682,0.8216096869662411,1630.0040986947172,66.31306142159855
MWI,q5,0.462,0.1360907563383477,0.14981064285707146,0.2,3388.491454001901,3.104443810551834,3340.1339925407,67.12250723410654
MYS,q1,0.057057057057057,0.3174949775681868,0.22748902938202378,0.2,8097.4287429260185,0.423558151751614,29609.181539860925,941.6779931696767
MYS,q2,0.1001001001001001,0.3595390907735115,0.18503391076741496,0.2,14206.015338466717,0.6044064064911402,54800.74082112643,1065.602296400118
MYS,q3,0.1481481481481481,0.511124079356046,0.1793729041173007,0.2,21024.902700930732,0.8671541085937755,81668.47751324298,1103.82837443062
