iso3,income_cat,income_share,social
NGA,q2,0.11599999999999999,0.037908897920639936
NGA,q3,0.162,0.04920267755831996
NGA,q4,0.22699999999999998,0.056968517674054135
NGA,q5,0.424,0.07557815807446638
NIC,q1,0.051,0.3598193032080174
NIC,q2,0.092,0.23052995139447233
NIC,q3,0.13699999999999998,0.1735095784191196
NIC,q4,0.19899999999999998,0.16741419268987154
NIC,q5,0.521,0.09021032621300752
NLD,q1,0.094,0.5002786548261031
NLD,q2,0.146,0.3501076226311048
NLD,q3,0.183,0.3934344383731929
NLD,q4,0.225,0.3424744414257881
NLD,q5,0.35200000000000004,0.3424744414257881
NOR,q1,0.08808808808808809,0.5642251445030786
NOR,q2,0.14114114114114112,0.38487915986576
NOR,q3,0.17717717717717715,0.3877987798286579
NOR,q4,0.2262262262262262,0.3422267998501477
NOR,q5,0.36736736736736736,0.3422267998501477
NPL,q1,0.087,0.19576886527840198
NPL,q2,0.131,0.2260199105198858
NPL,q3,0.17,0.268854422302834
NPL,q4,0.222,0.2753397921213386
NPL,q5,0.39,0.33158209159687013
NRU,q1,0.07992007992007993,0.4080196402898608
NRU,q2,0.1248751248751249,0.2713454150471011
NRU,q3,0.16483516483516486,0.2669102339987751
NRU,q4,0.22377622377622378,
NRU,q5,0.40659340659340665,
PAK,q1,0.0960960960960961,0.09056017653106124
PAK,q2,0.13113113113113115,0.11694943777889032
PAK,q3,0.16416416416416416,0.13459085492556247
PAK,q4,0.2122122122122122,0.16367705934251872
PAK,q5,0.3963963963963964,0.20064245263415412
PAN,q1,0.036963036963036974,0.32245026253226483
PAN,q2,0.08391608391608393,0.20479492413039738
PAN,q3,0.1328671328671329,0.159593870564745
PAN,q4,0.2117882117882118,0.12964829700376174
PAN,q5,0.5344655344655346,0.12006531346037155
PER,q1,0.057057057057057055,0.19790823969144516
PER,q2,0.1051051051051051,0.13929893088795875
PER,q3,0.15215215215215214,0.11803833451030749
PER,q4,0.2202202202202202,0.10297461885892764
PER,q5,0.4654654654654654,0.10774723265693151
PHL,q1,0.065,0.32893947063821033
PHL,q2,0.10400000000000001,0.3048578641007186
PHL,q3,0.14300000000000002,0.3078388929160193
PHL,q4,0.20800000000000002,0.3218246504185398
PHL,q5,0.48,0.3473842740140191
PNG,q1,0.051000000000000004,0.004448386848737789
PNG,q2,0.10000000000000002,0.0030685994880345615
PNG,q3,0.15200000000000002,0.0015564782876019388
